0 10.6
2 10.1635
4 9.87808
6 9.74368
8 9.76032
10 9.928
12 10.2467
14 10.7165
16 11.3373
18 12.1091
20 13.032
22 14.1059
24 15.3309
26 16.7069
28 18.2339
30 19.912
32 21.7411
34 23.7213
36 25.8525
38 28.1347
40 30.568
42 33.1523
44 35.8877
46 38.7741
48 41.8115
50 45
52 50.6266
54 55.8102
56 60.551
58 64.849
60 68.704
62 72.1162
64 75.0854
66 77.6118
68 79.6954
70 81.336
72 82.5338
74 83.2886
76 83.6006
78 83.4698
80 82.896
82 81.8794
84 80.4198
86 78.5174
88 76.1722
90 73.384
92 70.153
94 66.479
96 62.3622
98 57.8026
100 52.8
102 49.2922
104 45.9366
106 42.7334
108 39.6826
110 36.784
112 34.0378
114 31.4438
116 29.0022
118 26.713
120 24.576
122 22.5914
124 20.759
126 19.079
128 17.5514
130 16.176
132 14.953
134 13.8822
136 12.9638
138 12.1978
140 11.584
142 11.1226
144 10.8134
146 10.6566
148 10.6522
150 10.8
152 10.6328
154 10.4592
156 10.2792
158 10.0928
160 9.9
162 9.7008
164 9.4952
166 9.2832
168 9.0648
170 8.84
172 8.6088
174 8.3712
176 8.1272
178 7.8768
180 7.62
182 7.3568
184 7.0872
186 6.8112
188 6.5288
190 6.24
192 5.9448
194 5.6432
196 5.3352
198 5.0208
